zip_code,latitude,longitude
61072,42.4497,-89.1515
62950,37.7442,-89.5686
60185,41.8959,-88.2169
61435,40.9877,-90.5352
61379,41.3805,-89.6063
62890,37.9081,-88.7302
61067,42.3041,-89.4837
61488,41.0087,-90.3090
60627,49.6332,2.3603
60604,41.8785,-87.6279
62071,38.6396,-90.1468
60476,41.5713,-87.6038
62285,38.3903,-90.0093
60202,42.0301,-87.6828
60701,41.9715,-87.8954
60466,41.4830,-87.6828
62225,38.5427,-89.8552
60026,42.0922,-87.8206
60209,NA,NA
60209,-NA,-NA
60677,41.8800,-87.6400
60944,41.0644,-87.6273
62273,38.7803,-89.5907
62067,38.9355,-89.9907
60438,41.5703,-87.5544
62236,38.4217,-90.2057
60922,40.9997,-87.8746
60629,41.7728,-87.7123
60092,NA,NA
60092,-NA,-NA
60049,NA,NA
60049,-NA,-NA
60660,41.9901,-87.6630
60183,NA,NA
60183,-NA,-NA
62347,39.8735,-91.0778
62639,40.0778,-90.4550
62553,39.2550,-89.1134
62994,37.9130,-89.3417
61115,42.3749,-89.0227
60948,40.5170,-88.0705
62644,40.2884,-90.0187
60683,NA,NA
60683,-NA,-NA
62262,38.9228,-89.2657
60437,50.1995,8.6818
61811,40.2944,-87.6088
61546,40.4515,-89.7943
61644,NA,NA
61644,-NA,-NA
61356,41.3998,-89.4364
61932,39.7865,-87.8452
60102,42.1656,-88.2942
61301,41.3775,-89.0752
61111,42.3402,-88.9892
62216,38.5998,-89.5969
61078,42.1767,-89.7192
61237,41.3368,-90.8544
61333,40.9835,-88.8743
61839,40.1170,-88.6531
62214,38.3687,-89.6346
61732,40.5302,-89.1896
62864,38.3173,-88.9031
60512,41.6953,-88.4355
62763,39.7876,-89.6531
62552,NA,NA
62552,-NA,-NA
60917,41.0454,-88.1877
61603,40.7100,-89.5733
62686,NA,NA
62686,-NA,-NA
61049,42.0442,-89.0084
61547,40.5785,-89.7427
60182,NA,NA
60182,-NA,-NA
61535,40.5829,-89.5215
62929,NA,NA
62929,-NA,-NA
62715,NA,NA
62715,-NA,-NA
60926,NA,NA
60926,-NA,-NA
62934,NA,NA
62934,-NA,-NA
62883,38.1655,-89.1134
60934,40.9670,-88.3434
61318,41.6972,-89.0752
61087,42.4823,-89.9907
61956,39.8638,-88.1487
62376,40.1161,-91.4241
62463,39.2812,-88.6048
62928,37.4809,-88.5759
61374,41.5516,-89.3538
62681,NA,NA
62681,-NA,-NA
62318,NA,NA
62318,-NA,-NA
60938,40.7586,-87.9531
62935,37.8643,-88.6145
61422,NA,NA
61422,-NA,-NA
62527,NA,NA
62527,-NA,-NA
62866,NA,NA
62866,-NA,-NA
62525,39.8427,-88.9530
61640,NA,NA
61640,-NA,-NA
61058,NA,NA
61058,-NA,-NA
62572,39.3825,-89.7192
60080,NA,NA
60080,-NA,-NA
61019,42.4415,-89.4080
60672,NA,NA
60672,-NA,-NA
62627,40.0427,-90.1308
60170,19.3936,-102.0525
110098,NA,NA
110098,-NA,-NA
110099,28.7224,77.0797
110112,NA,NA
110112,-NA,-NA
110115,7.2272,3.8859
110150,NA,NA
110150,-NA,-NA
46385,41.4654,-87.1223
46802,41.0645,-85.1739
47226,51.4043,6.7173
47019,38.8685,-84.9857
47725,38.1005,-87.5198
47946,40.9772,-86.8822
47878,39.4921,-87.2651
47744,NA,NA
47744,-NA,-NA
46626,41.6781,-86.2532
46158,39.5743,-86.3580
46295,NA,NA
46295,-NA,-NA
47262,NA,NA
47262,-NA,-NA
47874,39.6426,-87.3612
46183,39.6529,-86.2829
46784,41.4941,-85.3911
46565,41.7149,-85.5612
46230,39.8700,-86.1399
47966,39.8868,-87.4046
46532,41.4112,-86.6006
47394,40.1595,-84.9818
46809,41.0006,-85.2101
47438,39.1417,-87.2021
47549,38.3704,-86.9478
46983,NA,NA
46983,-NA,-NA
47976,NA,NA
47976,-NA,-NA
47683,38.2772,-87.3777
46223,NA,NA
46223,-NA,-NA
47804,39.4936,-87.3960
46161,39.6758,-85.7051
47034,39.2052,-85.3308
47575,38.3261,-86.8120
46765,41.2442,-85.0337
46787,41.0572,-85.6229
46792,NA,NA
46792,-NA,-NA
46057,40.3235,-86.3681
47130,38.3326,-85.6948
46524,41.3130,-86.0326
47727,NA,NA
47727,-NA,-NA
47620,37.9395,-87.9531
46988,40.8773,-86.2362
47229,38.8090,-85.8281
47807,39.4729,-87.3960
46590,41.2200,-85.8128
46616,41.7028,-86.2692
47856,NA,NA
47856,-NA,-NA
47578,38.8917,-87.2021
47453,38.8905,-86.7517
47813,NA,NA
47813,-NA,-NA
46253,39.7200,-86.2000
47223,39.0354,-85.4685
47719,38.0516,-87.6876
46274,NA,NA
46274,-NA,-NA
46256,39.9052,-86.0330
46211,NA,NA
46211,-NA,-NA
46612,NA,NA
46612,-NA,-NA
47231,38.8803,-85.4994
47591,38.6058,-87.5198
46266,NA,NA
46266,-NA,-NA
46399,NA,NA
46399,-NA,-NA
46275,NA,NA
46275,-NA,-NA
110161,NA,NA
110161,-NA,-NA
110164,NA,NA
110164,-NA,-NA
66046,38.9027,-95.2162
67455,38.9924,-98.1776
66652,NA,NA
66652,-NA,-NA
67236,NA,NA
67236,-NA,-NA
67068,37.5739,-98.0902
67102,37.0700,-96.7800
66642,NA,NA
66642,-NA,-NA
67257,NA,NA
67257,-NA,-NA
67740,39.3922,-100.3947
66017,39.6760,-95.2893
66658,NA,NA
66658,-NA,-NA
66638,NA,NA
66638,-NA,-NA
66548,39.5991,-96.7708
67063,38.3048,-97.2221
67569,NA,NA
67569,-NA,-NA
66262,NA,NA
66262,-NA,-NA
66762,37.3960,-94.7071
66637,NA,NA
66637,-NA,-NA
66862,49.4142,7.6281
66606,39.0609,-95.7247
67427,38.4969,-98.4184
67479,49.0104,7.9306
67137,37.6240,-96.2164
66733,37.5639,-95.2684
66686,NA,NA
66686,-NA,-NA
66522,39.8716,-95.9423
67464,38.5753,-97.8939
66830,38.5886,-96.0997
67661,49.4083,7.7156
67074,37.6807,-96.7280
66435,NA,NA
66435,-NA,-NA
66066,39.2197,-95.3312
67221,NA,NA
67221,-NA,-NA
67844,37.4086,-100.2152
67744,39.9319,-100.9581
67251,NA,NA
67251,-NA,-NA
66938,39.5624,-97.3733
66523,38.6324,-95.8565
